5000 0.001579 0.001131 0.001122 0.003099
5500 0.001856 0.001190 0.001174 0.005304
6000 0.002176 0.001321 0.000845 0.002048
6500 0.002155 0.001496 0.000917 0.005482
7000 0.002302 0.001537 0.000985 0.005517
7500 0.002474 0.001623 0.001052 0.005593
8000 0.002542 0.001753 0.001151 0.004457
8500 0.002773 0.001850 0.001217 0.005797
9000 0.002939 0.002050 0.001252 0.004550
9500 0.003090 0.002177 0.001322 0.003542
10000 0.003257 0.002249 0.001414 0.005145
10500 0.003515 0.002325 0.001477 0.005904
11000 0.003532 0.002397 0.001574 0.003243
11500 0.003714 0.002520 0.001601 0.006073
12000 0.003860 0.002668 0.001701 0.006183
12500 0.004099 0.002721 0.001730 0.003213
13000 0.004233 0.002847 0.001866 0.006350
13500 0.004339 0.002934 0.001875 0.002966
14000 0.004612 0.002987 0.001943 0.004213
14500 0.004741 0.003149 0.002064 0.004513
15000 0.004836 0.003325 0.002384 0.004364
15500 0.004996 0.003397 0.002221 0.006714
16000 0.005083 0.003485 0.002260 0.004916
16500 0.005324 0.003633 0.002297 0.004851
17000 0.005502 0.003645 0.002357 0.006939
17500 0.005661 0.003792 0.002407 0.004523
18000 0.005794 0.003854 0.002571 0.003419
18500 0.005955 0.003989 0.002546 0.006867
19000 0.006063 0.004351 0.002944 0.005293
19500 0.006213 0.004300 0.002687 0.005481
